,name,company,year,price,kms_driven,fuel_type
271,Grapes(Green),Grapes(Green),2013,250,255.0,kg
272,Water Melon(Green),Water Melon(Green),2018,14,15.0,kg
273,Sweet Orange,Sweet Orange,2003,90,95.0,kg
274,Pineapple,Pineapple,2018,70,75.0,kg
275,Cucumber(Local),Cucumber(Local),2018,30,32.5,kg
276,Jack Fruit,Jack Fruit,2014,20,22.5,kg
277,Papaya(Nepali),Papaya(Nepali),2014,60,62.5,kg
278,Sugarcane,Sugarcane,2011,50,55.0,kg
279,Ginger,Ginger,2010,140,145.0,kg
280,Chilli Dry,Chilli Dry,2016,170,175.0,kg
281,Chilli Green,Chilli Green,2000,35,37.5,kg
282,Capsicum,Capsicum,2015,55,57.5,kg
283,Coriander Green,Coriander Green,2010,90,95.0,kg
284,Garlic Dry Chinese,Garlic Dry Chinese,2013,100,105.0,kg
285,Garlic Dry Nepali,Garlic Dry Nepali,2008,50,55.0,kg
286,Clive Dry,Clive Dry,2015,70,75.0,kg
287,Clive Green,Clive Green,2011,50,55.0,kg
288,Fish Fresh,Fish Fresh,2016,210,215.0,kg
289,Tomato Big(Nepali),Tomato Big(Nepali),2006,25,27.5,kg
290,Potato Red,Potato Red,2010,20,20.5,kg
291,Potato White,Potato White,2016,15,15.5,kg
292,Onion Dry (Indian),Onion Dry (Indian),2013,35,35.5,kg
293,Carrot(Local),Carrot(Local),2013,40,41.0,kg
294,Cabbage(Local),Cabbage(Local),2008,10,12.5,kg
295,Cauli Local,Cauli Local,2013,20,22.5,kg
296,Raddish Red,Raddish Red,2009,35,37.5,kg
297,Raddish White(Local),Raddish White(Local),2019,28,30.0,kg
298,Brinjal Long,Brinjal Long,2004,20,22.5,kg
299,Brinjal Round,Brinjal Round,2017,25,27.5,kg
300,Cow pea(Long),Cow pea(Long),2009,30,32.5,kg
301,Green Peas,Green Peas,2015,55,57.5,kg
302,French Bean(Local),French Bean(Local),2013,30,35.0,kg
303,Soyabean Green,Soyabean Green,2014,50,52.5,kg
304,Bitter Gourd,Bitter Gourd,2015,20,22.5,kg
305,Bottle Gourd,Bottle Gourd,2014,20,22.5,kg
306,Pointed Gourd(Local),Pointed Gourd(Local),2012,30,32.5,kg
307,Snake Gourd,Snake Gourd,2011,30,32.5,kg
308,Smooth Gourd,Smooth Gourd,2007,20,22.5,kg
309,Sponge Gourd,Sponge Gourd,2014,45,47.5,kg
310,Pumpkin,Pumpkin,2015,18,19.0,kg
311,Squash(Long),Squash(Long),2014,15,17.5,kg
312,Turnip,Turnip,2009,40,42.5,kg
313,Okara,Okara,2014,35,37.5,kg
314,Christophine,Christophine,2012,35,37.5,kg
315,Brd Leaf Mustard,Brd Leaf Mustard,2015,40,42.5,kg
316,Spinach Leaf,Spinach Leaf,2018,45,47.5,kg
317,Cress Leaf,Cress Leaf,2015,45,47.5,kg
318,Mustard Leaf,Mustard Leaf,2014,35,37.5,kg
319,Fenugreek Leaf,Fenugreek Leaf,2012,45,47.5,kg
320,Onion Green,Onion Green,2016,35,37.5,kg
321,Mushroom(Kanya),Mushroom(Kanya),2016,200,210.0,kg
322,Asparagus,Asparagus,2015,100,110.0,kg
323,Neuro,Neuro,2014,50,55.0,kg
324,Brocauli,Brocauli,2013,70,75.0,kg
325,Sugarbeet,Sugarbeet,2013,35,37.5,kg
326,Drumstick,Drumstick,2013,45,47.5,kg
327,Red Cabbbage,Red Cabbbage,2010,70,75.0,kg
328,Lettuce,Lettuce,2016,45,47.5,kg
329,Celery,Celery,2012,120,125.0,kg
330,Parseley,Parseley,2013,170,175.0,kg
331,Fennel Leaf,Fennel Leaf,2012,45,47.5,kg
332,Mint,Mint,2013,120,125.0,kg
333,Turnip A,Turnip A,2012,50,55.0,kg
334,Tamarind,Tamarind,2013,65,67.5,kg
335,Bamboo Shoot,Bamboo Shoot,2013,50,55.0,kg
336,Tofu,Tofu,2016,55,57.5,kg
337,Gundruk,Gundruk,2015,180,185.0,kg
338,Apple(Jholey),Apple(Jholey),2013,110,115.0,kg
339,Banana,Banana,2014,70,75.0,kg
340,Lime,Lime,2015,200,300.0,kg
341,Pomegranate,Pomegranate,2012,190,195.0,kg
342,Mango(Maldah),Mango(Maldah),2017,50,55.0,kg
343,Grapes(Green),Grapes(Green),2014,250,255.0,kg
344,Water Melon(Green),Water Melon(Green),2014,14,15.0,kg
345,Sweet Orange,Sweet Orange,2012,90,95.0,kg
346,Pineapple,Pineapple,2015,60,65.0,kg
347,Cucumber(Local),Cucumber(Local),2017,30,32.5,kg
348,Jack Fruit,Jack Fruit,2011,20,22.5,kg
349,Papaya(Nepali),Papaya(Nepali),2010,55,55.0,kg
350,Sugarcane,Sugarcane,2014,50,55.0,kg
351,Ginger,Ginger,2013,140,145.0,kg
352,Chilli Dry,Chilli Dry,2011,170,175.0,kg
353,Chilli Green,Chilli Green,2012,40,45.0,kg
354,Capsicum,Capsicum,2018,50,52.5,kg
355,Coriander Green,Coriander Green,2015,50,55.0,kg
356,Garlic Dry Chinese,Garlic Dry Chinese,2010,100,105.0,kg
357,Garlic Dry Nepali,Garlic Dry Nepali,2009,50,55.0,kg
358,Clive Dry,Clive Dry,2019,70,75.0,kg
359,Clive Green,Clive Green,2012,70,75.0,kg
360,Fish Fresh,Fish Fresh,2016,210,215.0,kg
361,Tomato Big(Nepali),Tomato Big(Nepali),2014,25,27.5,kg
362,Potato Red,Potato Red,2013,21,21.5,kg
363,Potato White,Potato White,2015,16,16.5,kg
364,Onion Dry (Indian),Onion Dry (Indian),2013,34,34.5,kg
365,Carrot(Local),Carrot(Local),2011,40,42.5,kg
366,Cabbage(Local),Cabbage(Local),2015,8,10.0,kg
367,Cauli Local,Cauli Local,2012,20,22.0,kg
368,Raddish Red,Raddish Red,2003,35,37.5,kg
369,Raddish White(Local),Raddish White(Local),2019,25,27.5,kg
370,Brinjal Long,Brinjal Long,2011,18,20.0,kg
371,Brinjal Round,Brinjal Round,2015,25,27.5,kg
372,Cow pea(Long),Cow pea(Long),2016,30,32.5,kg
373,Green Peas,Green Peas,2008,55,57.5,kg
374,French Bean(Local),French Bean(Local),2018,35,37.5,kg
375,Soyabean Green,Soyabean Green,2006,55,57.5,kg
376,Bitter Gourd,Bitter Gourd,2017,18,20.0,kg
377,Bottle Gourd,Bottle Gourd,2010,20,21.0,kg
378,Snake Gourd,Snake Gourd,2014,35,37.5,kg
379,Smooth Gourd,Smooth Gourd,2012,18,20.0,kg
380,Sponge Gourd,Sponge Gourd,2018,45,47.5,kg
381,Pumpkin,Pumpkin,1995,18,19.0,kg
382,Squash(Long),Squash(Long),2011,18,19.0,kg
383,Turnip,Turnip,2015,45,47.5,kg
384,Okara,Okara,2014,45,50.0,kg
385,Christophine,Christophine,2015,35,37.5,kg
386,Brd Leaf Mustard,Brd Leaf Mustard,2012,45,47.5,kg
387,Cress Leaf,Cress Leaf,2004,45,47.5,kg
388,Mustard Leaf,Mustard Leaf,2016,35,37.5,kg
389,Fenugreek Leaf,Fenugreek Leaf,2011,45,47.5,kg
390,Onion Green,Onion Green,2002,35,37.5,kg
391,Mushroom(Kanya),Mushroom(Kanya),2013,180,190.0,kg
392,Neuro,Neuro,2000,50,55.0,kg
393,Brocauli,Brocauli,2006,70,75.0,kg
394,Sugarbeet,Sugarbeet,2001,35,37.5,kg
395,Drumstick,Drumstick,2017,45,47.5,kg
396,Red Cabbbage,Red Cabbbage,2018,70,75.0,kg
397,Lettuce,Lettuce,2011,40,42.5,kg
398,Celery,Celery,2017,120,125.0,kg
399,Parseley,Parseley,2011,180,185.0,kg
400,Fennel Leaf,Fennel Leaf,2009,45,47.5,kg
401,Mint,Mint,2017,120,125.0,kg
402,Turnip A,Turnip A,2001,45,47.5,kg
403,Tamarind,Tamarind,2012,65,67.5,kg
404,Tofu,Tofu,2014,55,57.5,kg
405,Gundruk,Gundruk,2016,180,185.0,kg
406,Apple(Jholey),Apple(Jholey),2012,110,115.0,kg
407,Banana,Banana,2016,70,75.0,kg
408,Lime,Lime,2013,200,300.0,kg
409,Pomegranate,Pomegranate,2015,200,205.0,kg
410,Mango(Maldah),Mango(Maldah),2014,40,45.0,kg
411,Grapes(Green),Grapes(Green),2012,250,255.0,kg
412,Water Melon(Green),Water Melon(Green),2017,16,17.0,kg
413,Sweet Orange,Sweet Orange,2010,90,95.0,kg
414,Pineapple,Pineapple,2018,60,65.0,kg
415,Cucumber(Local),Cucumber(Local),2015,25,27.5,kg
416,Jack Fruit,Jack Fruit,2019,15,17.5,kg
417,Papaya(Nepali),Papaya(Nepali),2015,55,57.5,kg
418,Sugarcane,Sugarcane,2001,50,55.0,kg
419,Ginger,Ginger,2010,130,135.0,kg
420,Chilli Dry,Chilli Dry,2010,170,175.0,kg
421,Garlic Green,Garlic Green,2013,45,47.5,kg
422,Coriander Green,Coriander Green,2016,50,60.0,kg
423,Garlic Dry Chinese,Garlic Dry Chinese,2013,100,105.0,kg
424,Garlic Dry Nepali,Garlic Dry Nepali,2016,50,55.0,kg
425,Clive Dry,Clive Dry,2010,70,75.0,kg
426,Clive Green,Clive Green,2015,50,55.0,kg
427,Fish Fresh,Fish Fresh,2015,210,215.0,kg
428,Tomato Small(Local),Tomato Small(Local),2014,25,27.5,kg
429,Potato Red,Potato Red,2016,23,24.0,kg
430,Potato White,Potato White,2017,17,17.5,kg
431,Onion Dry (Indian),Onion Dry (Indian),2011,33,34.0,kg
432,Carrot(Local),Carrot(Local),2011,40,42.5,kg
433,Cabbage(Local),Cabbage(Local),2013,10,12.5,kg
434,Cauli Local,Cauli Local,2012,20,22.5,kg
435,Raddish Red,Raddish Red,2011,40,42.5,kg
436,Raddish White(Local),Raddish White(Local),2015,20,22.5,kg
437,Brinjal Long,Brinjal Long,2012,35,37.5,kg
438,Brinjal Round,Brinjal Round,2018,30,32.5,kg
439,Cow pea(Long),Cow pea(Long),2009,40,42.5,kg
440,Green Peas,Green Peas,2010,55,57.5,kg
441,French Bean(Local),French Bean(Local),2016,35,37.5,kg
442,Soyabean Green,Soyabean Green,2016,50,52.5,kg
443,Bitter Gourd,Bitter Gourd,2015,25,27.5,kg
444,Bottle Gourd,Bottle Gourd,2015,30,32.5,kg
445,Pointed Gourd(Local),Pointed Gourd(Local),2017,35,37.5,kg
446,Snake Gourd,Snake Gourd,2016,30,32.5,kg
447,Smooth Gourd,Smooth Gourd,2011,25,27.5,kg
448,Sponge Gourd,Sponge Gourd,2015,45,47.5,kg
449,Pumpkin,Pumpkin,2017,18,19.0,kg
450,Squash(Long),Squash(Long),2015,15,17.5,kg
451,Okara,Okara,2004,40,42.5,kg
452,Arum,Arum,2018,28,30.0,kg
453,Christophine,Christophine,2015,35,37.5,kg
454,Brd Leaf Mustard,Brd Leaf Mustard,2008,40,42.5,kg
455,Spinach Leaf,Spinach Leaf,2003,45,47.5,kg
456,Cress Leaf,Cress Leaf,2011,45,47.5,kg
457,Mustard Leaf,Mustard Leaf,2015,35,37.5,kg
458,Fenugreek Leaf,Fenugreek Leaf,2015,40,42.5,kg
459,Onion Green,Onion Green,2015,40,42.5,kg
460,Mushroom(Kanya),Mushroom(Kanya),2016,150,160.0,kg
461,Asparagus,Asparagus,2015,100,112.5,kg
462,Neuro,Neuro,2009,50,55.0,kg
463,Brocauli,Brocauli,2016,70,75.0,kg
464,Sugarbeet,Sugarbeet,2018,35,37.5,kg
465,Red Cabbbage,Red Cabbbage,2017,70,75.0,kg
466,Lettuce,Lettuce,2014,45,47.5,kg
467,Celery,Celery,2010,120,125.0,kg
468,Parseley,Parseley,2013,180,185.0,kg
469,Fennel Leaf,Fennel Leaf,2015,45,47.5,kg
470,Mint,Mint,2013,120,125.0,kg
471,Turnip A,Turnip A,2019,45,47.5,kg
472,Tamarind,Tamarind,2001,65,67.5,kg
473,Bamboo Shoot,Bamboo Shoot,2015,50,55.0,kg
474,Tofu,Tofu,2004,55,57.5,kg
475,Gundruk,Gundruk,2014,180,185.0,kg
476,Apple(Jholey),Apple(Jholey),2016,110,120.0,kg
477,Banana,Banana,2017,60,65.0,kg
478,Lime,Lime,2016,200,300.0,kg
479,Pomegranate,Pomegranate,2007,230,240.0,kg
480,Mango(Maldah),Mango(Maldah),2015,50,55.0,kg
481,Grapes(Green),Grapes(Green),2014,250,255.0,kg
482,Water Melon(Green),Water Melon(Green),2013,17,17.5,kg
483,Sweet Orange,Sweet Orange,2005,90,95.0,kg
484,Pineapple,Pineapple,2003,60,65.0,kg
485,Cucumber(Local),Cucumber(Local),2010,25,27.5,kg
486,Jack Fruit,Jack Fruit,2014,20,22.5,kg
487,Papaya(Nepali),Papaya(Nepali),2007,55,57.5,kg
488,Sugarcane,Sugarcane,2017,50,55.0,kg
489,Ginger,Ginger,2015,140,145.0,kg
490,Chilli Dry,Chilli Dry,2003,170,175.0,kg
491,Chilli Green,Chilli Green,2008,30,35.0,kg
492,Capsicum,Capsicum,2016,70,75.0,kg
493,Garlic Green,Garlic Green,2010,45,47.5,kg
494,Coriander Green,Coriander Green,2019,45,47.5,kg
495,Garlic Dry Chinese,Garlic Dry Chinese,2010,100,105.0,kg
496,Garlic Dry Nepali,Garlic Dry Nepali,2016,50,55.0,kg
497,Clive Dry,Clive Dry,2015,70,75.0,kg
498,Clive Green,Clive Green,2014,50,55.0,kg
499,Fish Fresh,Fish Fresh,2014,210,215.0,kg
500,Tomato Big(Nepali),Tomato Big(Nepali),2002,30,32.5,kg
501,Tomato Small(Local),Tomato Small(Local),2010,20,22.5,kg
502,Potato Red,Potato Red,2017,22,22.5,kg
503,Potato White,Potato White,2016,17,17.5,kg
504,Onion Dry (Indian),Onion Dry (Indian),2015,33,34.0,kg
505,Carrot(Local),Carrot(Local),2017,35,37.5,kg
506,Cabbage(Local),Cabbage(Local),2014,10,12.5,kg
507,Cauli Local,Cauli Local,2013,18,20.0,kg
508,Raddish Red,Raddish Red,2016,35,37.5,kg
509,Raddish White(Local),Raddish White(Local),2015,20,22.5,kg
510,Brinjal Long,Brinjal Long,2009,30,32.5,kg
511,Cow pea(Long),Cow pea(Long),2016,30,32.5,kg
512,Green Peas,Green Peas,2013,55,57.5,kg
513,French Bean(Local),French Bean(Local),2012,35,37.5,kg
514,Soyabean Green,Soyabean Green,2006,45,47.5,kg
515,Bitter Gourd,Bitter Gourd,2001,20,25.0,kg
516,Bottle Gourd,Bottle Gourd,2015,30,31.0,kg
517,Pointed Gourd(Local),Pointed Gourd(Local),2015,35,37.5,kg
518,Snake Gourd,Snake Gourd,2018,30,32.5,kg
519,Smooth Gourd,Smooth Gourd,2009,20,22.5,kg
520,Sponge Gourd,Sponge Gourd,2010,45,47.5,kg
521,Pumpkin,Pumpkin,2012,16,18.0,kg
522,Squash(Long),Squash(Long),2006,20,22.5,kg
523,Turnip,Turnip,2007,45,47.5,kg
524,Okara,Okara,2012,35,37.5,kg
525,Arum,Arum,2003,30,32.5,kg
526,Christophine,Christophine,2009,35,37.5,kg
527,Brd Leaf Mustard,Brd Leaf Mustard,2009,40,42.5,kg
528,Spinach Leaf,Spinach Leaf,2010,45,47.5,kg
529,Cress Leaf,Cress Leaf,2016,45,47.5,kg
530,Mustard Leaf,Mustard Leaf,2019,35,37.5,kg
531,Fenugreek Leaf,Fenugreek Leaf,2009,45,47.5,kg
532,Onion Green,Onion Green,2009,35,37.5,kg
533,Mushroom(Kanya),Mushroom(Kanya),2000,150,155.0,kg
534,Asparagus,Asparagus,2009,100,115.0,kg
535,Neuro,Neuro,2012,40,45.0,kg
536,Brocauli,Brocauli,2017,70,75.0,kg
537,Sugarbeet,Sugarbeet,2013,35,37.5,kg
538,Red Cabbbage,Red Cabbbage,2013,70,75.0,kg
539,Lettuce,Lettuce,2005,40,45.0,kg
540,Celery,Celery,2011,120,125.0,kg
541,Parseley,Parseley,2010,170,175.0,kg
542,Fennel Leaf,Fennel Leaf,2009,45,47.5,kg
543,Mint,Mint,2013,120,125.0,kg
544,Turnip A,Turnip A,2014,45,47.5,kg
545,Tamarind,Tamarind,2015,65,67.5,kg
546,Tofu,Tofu,2011,55,57.5,kg
547,Gundruk,Gundruk,2014,180,185.0,kg
548,Apple(Jholey),Apple(Jholey),2018,110,120.0,kg
549,Banana,Banana,2014,60,65.0,kg
550,Lime,Lime,2006,200,300.0,kg
551,Pomegranate,Pomegranate,2013,220,230.0,kg
552,Mango(Maldah),Mango(Maldah),2016,50,55.0,kg
553,Grapes(Green),Grapes(Green),2019,250,255.0,kg
554,Water Melon(Green),Water Melon(Green),2011,15,16.5,kg
555,Sweet Orange,Sweet Orange,2009,90,95.0,kg
556,Pineapple,Pineapple,2012,60,65.0,kg
557,Cucumber(Local),Cucumber(Local),2013,30,32.5,kg
558,Jack Fruit,Jack Fruit,2014,20,22.5,kg
559,Papaya(Nepali),Papaya(Nepali),2017,50,55.0,kg
560,Sugarcane,Sugarcane,2009,50,55.0,kg
561,Ginger,Ginger,2014,130,135.0,kg
562,Chilli Dry,Chilli Dry,2004,170,175.0,kg
563,Chilli Green,Chilli Green,2016,25,27.5,kg
564,Capsicum,Capsicum,2011,90,95.0,kg
565,Garlic Green,Garlic Green,2015,45,47.5,kg
566,Coriander Green,Coriander Green,2013,40,45.0,kg
567,Garlic Dry Chinese,Garlic Dry Chinese,2010,95,97.5,kg
568,Garlic Dry Nepali,Garlic Dry Nepali,2012,50,55.0,kg
569,Clive Dry,Clive Dry,2018,70,75.0,kg
570,Clive Green,Clive Green,2017,50,55.0,kg
571,Fish Fresh,Fish Fresh,2013,210,215.0,kg
572,Tomato Big(Nepali),Tomato Big(Nepali),2016,30,32.5,kg
573,Tomato Small(Local),Tomato Small(Local),2011,18,21.0,kg
574,Potato Red,Potato Red,2014,22,23.0,kg
575,Potato White,Potato White,2016,19,19.5,kg
576,Onion Dry (Indian),Onion Dry (Indian),2016,35,36.0,kg
577,Carrot(Local),Carrot(Local),2004,40,41.0,kg
578,Cauli Local,Cauli Local,2015,25,27.5,kg
579,Raddish Red,Raddish Red,2013,35,37.5,kg
580,Raddish White(Local),Raddish White(Local),2015,20,22.5,kg
581,Brinjal Long,Brinjal Long,2009,35,37.5,kg
582,Brinjal Round,Brinjal Round,2010,35,37.5,kg
583,French Bean(Local),French Bean(Local),2013,38,40.0,kg
584,Soyabean Green,Soyabean Green,2010,45,47.5,kg
585,Bitter Gourd,Bitter Gourd,2006,25,27.5,kg
586,Bottle Gourd,Bottle Gourd,2012,28,30.0,kg
587,Pointed Gourd(Local),Pointed Gourd(Local),2014,35,37.5,kg
588,Snake Gourd,Snake Gourd,2017,35,37.5,kg
589,Smooth Gourd,Smooth Gourd,2010,20,22.5,kg
590,Sponge Gourd,Sponge Gourd,2009,4,24.5,kg
591,Squash(Long),Squash(Long),2017,20,22.0,kg
592,Turnip,Turnip,2009,25,27.5,kg
593,Okara,Okara,2010,35,37.5,kg
594,Arum,Arum,2014,35,37.5,kg
595,Christophine,Christophine,2018,38,39.0,kg
596,Spinach Leaf,Spinach Leaf,2018,40,42.5,kg
597,Mustard Leaf,Mustard Leaf,2013,35,37.5,kg
598,Fenugreek Leaf,Fenugreek Leaf,2014,40,42.5,kg
599,Onion Green,Onion Green,2002,40,42.5,kg
600,Mushroom(Kanya),Mushroom(Kanya),2006,170,175.0,kg
601,Asparagus,Asparagus,2012,100,112.5,kg
602,Neuro,Neuro,2011,50,55.0,kg
603,Sugarbeet,Sugarbeet,2012,35,37.5,kg
604,Lettuce,Lettuce,2018,45,47.5,kg
605,Celery,Celery,2012,120,125.0,kg
606,Parseley,Parseley,2007,170,175.0,kg
607,Fennel Leaf,Fennel Leaf,2002,45,47.5,kg
608,Mint,Mint,2011,120,125.0,kg
609,Turnip A,Turnip A,2008,40,42.5,kg
610,Tamarind,Tamarind,2014,65,67.5,kg
611,Bamboo Shoot,Bamboo Shoot,2017,50,55.0,kg
612,Tofu,Tofu,2003,55,57.5,kg
613,Gundruk,Gundruk,2015,180,185.0,kg
614,Banana,Banana,2011,50,55.0,kg
615,Lime,Lime,2011,200,300.0,kg
616,Pomegranate,Pomegranate,2012,220,230.0,kg
617,Mango(Maldah),Mango(Maldah),2017,50,55.0,kg
618,Grapes(Green),Grapes(Green),2012,250,255.0,kg
619,Water Melon(Green),Water Melon(Green),2012,18,19.0,kg
620,Sweet Orange,Sweet Orange,2012,90,95.0,kg
621,Cucumber(Local),Cucumber(Local),2012,30,32.5,kg
622,Papaya(Nepali),Papaya(Nepali),2010,55,57.5,kg
623,Sugarcane,Sugarcane,2015,50,55.0,kg
624,Ginger,Ginger,2016,130,135.0,kg
625,Chilli Dry,Chilli Dry,2015,170,175.0,kg
626,Chilli Green,Chilli Green,2012,25,27.5,kg
627,Capsicum,Capsicum,2016,90,95.0,kg
628,Garlic Green,Garlic Green,2015,45,47.5,kg
629,Coriander Green,Coriander Green,2014,30,35.0,kg
630,Garlic Dry Chinese,Garlic Dry Chinese,2003,90,95.0,kg
631,Garlic Dry Nepali,Garlic Dry Nepali,2016,50,55.0,kg
632,Clive Dry,Clive Dry,2013,70,75.0,kg
633,Clive Green,Clive Green,2012,50,55.0,kg
634,Fish Fresh,Fish Fresh,2010,210,215.0,kg
635,Tomato Big(Nepali),Tomato Big(Nepali),2008,30,32.5,kg
636,Tomato Small(Local),Tomato Small(Local),2012,24,26.0,kg
637,Potato Red,Potato Red,2016,23,23.5,kg
638,Potato White,Potato White,2011,19,19.5,kg
639,Onion Dry (Indian),Onion Dry (Indian),2014,36,37.0,kg
640,Carrot(Local),Carrot(Local),2011,40,41.0,kg
641,Cabbage(Local),Cabbage(Local),2016,10,12.0,kg
642,Cauli Local,Cauli Local,2015,25,27.5,kg
643,Raddish Red,Raddish Red,2013,35,37.5,kg
644,Raddish White(Local),Raddish White(Local),2014,25,27.5,kg
645,Brinjal Long,Brinjal Long,2011,35,37.5,kg
