,name,company,year,price,kms_driven,fuel_type
755,Pineapple,Pineapple,2011,70,75.0,kg
756,Cucumber(Local),Cucumber(Local),2013,28,31.5,kg
757,Jack Fruit,Jack Fruit,2003,15,17.5,kg
758,Sweet Lime,Sweet Lime,2017,55,57.5,kg
759,Sugarcane,Sugarcane,2009,50,55.0,kg
760,Ginger,Ginger,2009,130,135.0,kg
761,Chilli Dry,Chilli Dry,2016,170,175.0,kg
762,Chilli Green,Chilli Green,2014,40,45.0,kg
763,Garlic Green,Garlic Green,2011,55,57.5,kg
764,Garlic Dry Chinese,Garlic Dry Chinese,2013,90,95.0,kg
765,Carrot(Local),Carrot(Local),2013,45,47.5,kg
766,Bitter Gourd,Bitter Gourd,2013,25,27.5,kg
767,Bottle Gourd,Bottle Gourd,2017,30,32.5,kg
768,Pointed Gourd(Local),Pointed Gourd(Local),2009,30,32.5,kg
769,Snake Gourd,Snake Gourd,2016,35,37.5,kg
770,Smooth Gourd,Smooth Gourd,2013,20,22.5,kg
771,Sponge Gourd,Sponge Gourd,2014,40,42.5,kg
772,Pumpkin,Pumpkin,2015,16,18.0,kg
773,Squash(Long),Squash(Long),2005,15,17.5,kg
774,Okara,Okara,2005,40,42.5,kg
775,Arum,Arum,2019,28,30.0,kg
776,Christophine,Christophine,2010,40,41.0,kg
777,Brd Leaf Mustard,Brd Leaf Mustard,2017,35,37.5,kg
778,Spinach Leaf,Spinach Leaf,2009,40,42.5,kg
779,Cress Leaf,Cress Leaf,2016,40,42.5,kg
780,Mustard Leaf,Mustard Leaf,2014,35,37.5,kg
781,Fenugreek Leaf,Fenugreek Leaf,2008,40,42.5,kg
782,Onion Green,Onion Green,2005,35,37.5,kg
783,Mushroom(Kanya),Mushroom(Kanya),2014,160,170.0,kg
784,Asparagus,Asparagus,2012,120,125.0,kg
785,Neuro,Neuro,2010,50,55.0,kg
786,Sugarbeet,Sugarbeet,2011,35,37.5,kg
787,Red Cabbbage,Red Cabbbage,2000,60,65.0,kg
788,Lettuce,Lettuce,2016,50,55.0,kg
789,Celery,Celery,2019,120,125.0,kg
790,Parseley,Parseley,2016,170,175.0,kg
791,Fennel Leaf,Fennel Leaf,2019,40,42.5,kg
792,Mint,Mint,2005,120,125.0,kg
793,Turnip A,Turnip A,2006,45,47.5,kg
794,Maize,Maize,2016,5,6.0,kg
795,Tamarind,Tamarind,2008,65,67.5,kg
796,Bamboo Shoot,Bamboo Shoot,2019,50,55.0,kg
797,Tofu,Tofu,2011,55,57.5,kg
798,Apple(Jholey),Apple(Jholey),2016,110,115.0,kg
799,Banana,Banana,2019,40,45.0,kg
800,Lime,Lime,2019,200,300.0,kg
801,Pomegranate,Pomegranate,2017,200,205.0,kg
802,Mango(Maldah),Mango(Maldah),2009,50,55.0,kg
803,Grapes(Green),Grapes(Green),2000,250,255.0,kg
804,Water Melon(Green),Water Melon(Green),2011,20,22.5,kg
